date,Opening price,Highest price,Lowest price,Closing price,Volume(share),Turnover(USD),Ups and downs,Change(%)
1990-01-03,359.690002,360.589996,357.890015,358.76001,192330000,69092630257.815,-0.9299919999999702,-0.25855375318437623
1990-01-04,358.76001,358.76001,352.890015,355.670013,177000000,62981027212.5,-3.0899970000000394,-0.861299173227259
1990-01-05,355.670013,355.670013,351.350006,352.200012,158530000,56041941806.035,-3.470000999999968,-0.97562371669494
1990-01-08,352.200012,354.23999,350.540009,353.790009,140110000,49373362829.945,1.5899969999999826,0.4514471737155912
1990-01-09,353.829987,354.170013,349.609985,349.619995,155210000,54616846744.79,-4.170013999999981,-1.1786692370953866
1990-01-10,349.619995,349.619995,344.320007,347.309998,175990000,61063250475.990005,-2.30999700000001,-0.6607165016405903
1990-01-11,347.309998,350.140015,347.309998,348.529999,154390000,53839653753.535,1.220000999999968,0.35127148859099844
1990-01-12,348.529999,348.529999,339.48999,339.929993,183880000,63256557788.65999,-8.60000599999995,-2.4675081125512976
1990-01-15,339.929993,339.940002,336.570007,337.0,140590000,47555271082.655,-2.9299930000000245,-0.8619401230652857
1990-01-16,337.0,340.75,333.369995,340.75,186070000,62716753734.825005,3.75,1.1127596439169052
1990-01-17,340.769989,342.01001,336.26001,337.399994,170470000,57812345154.700005,-3.3500060000000076,-0.9831272193690399
1990-01-18,337.399994,338.380005,333.980011,338.190002,178590000,60038387628.72,0.7900080000000003,0.23414582514782456
1990-01-19,338.190002,340.480011,338.190002,339.149994,185590000,62977183856.33499,0.9599919999999997,0.2838617328492221
1990-01-22,339.140015,339.959991,330.279999,330.380005,148380000,49725104858.100006,-8.76998900000001,-2.5858732581902966
1990-01-23,330.380005,332.76001,328.670013,331.609985,179300000,59297201561.95,1.2299800000000118,0.37229250601893416
1990-01-24,331.609985,331.709991,324.170013,330.26001,207830000,68155770615.659996,-1.3499749999999722,-0.4070972108997206
1990-01-25,330.26001,332.329987,325.329987,326.079987,172270000,56647541860.490005,-4.180023000000006,-1.2656763984231767
1990-01-26,326.089996,328.579987,321.440002,325.799988,198190000,64413730809.955,-0.2799990000000321,-0.08586819527811596
1990-01-29,325.799988,327.309998,321.790009,325.200012,150770000,48932404027.695,-0.5999759999999696,-0.1841547029154511
1990-01-30,325.200012,325.730011,319.829987,322.980011,186030000,60046763213.96999,-2.2200010000000248,-0.6826571088810462
1990-01-31,322.980011,329.079987,322.980011,329.079987,189660000,61834849610.34,6.0999760000000265,1.8886543415221002
1990-02-01,329.079987,329.859985,327.76001,328.790009,154580000,50827449413.55,-0.28997800000001916,-0.08811778639095103
1990-02-02,328.790009,332.100006,328.089996,330.920013,164400000,54267618164.4,2.1300039999999854,0.647831120683473
1990-02-05,330.920013,332.160004,330.450012,331.850006,130950000,43384390797.600006,0.9299930000000245,0.28103256480895844
1990-02-06,331.850006,331.859985,328.200012,329.660004,134070000,44247121898.895004,-2.1900019999999927,-0.6599373091468297
1990-02-07,329.660004,333.76001,326.549988,333.75,186710000,61643239863.28999,4.089995999999985,1.2406709793038706
1990-02-08,333.75,336.089996,332.0,332.959991,176240000,58872090447.52,-0.7900089999999977,-0.23670681647940395
1990-02-09,333.019989,334.600006,332.410004,333.619995,146910000,48995220284.549995,0.6600040000000149,0.19822321535323262
1990-02-12,333.619995,333.619995,329.970001,330.079987,118390000,39281209813.22,-3.5400080000000003,-1.0610898786207357
1990-02-13,330.079987,331.609985,327.920013,331.019989,144490000,47647744705.51,0.9400019999999927,0.2847800645362941
1990-02-14,331.019989,333.200012,330.640015,332.01001,138530000,45980879470.155,0.9900210000000129,0.2990819385230603
1990-02-15,332.01001,335.209991,331.609985,334.890015,174620000,58220052104.56,2.880004999999983,0.8674452315458714
1990-02-16,334.890015,335.640015,332.420013,332.720001,166840000,55729567535.76,-2.1700139999999806,-0.647978113053016
1990-02-20,332.720001,332.720001,326.26001,327.98999,147300000,48533877810.15001,-4.730011000000047,-1.4216190748328472
1990-02-21,327.910004,328.170013,324.470001,327.670013,159240000,51963197914.68001,-0.3199769999999944,-0.09755694068590559
1990-02-22,327.670013,330.980011,325.700012,325.700012,184320000,60519630919.68,-1.970000999999968,-0.601214918009596
1990-02-23,325.700012,326.149994,322.100006,324.149994,148490000,48129321250.0,-1.5500180000000228,-0.4759035747287643
1990-02-26,324.160004,328.670013,323.980011,328.670013,148900000,48589794286.8,4.520018999999991,1.3944220526501017
1990-02-27,328.679993,331.940002,328.470001,330.26001,152590000,50385981178.884995,1.5899970000000394,0.48376698120009554
1990-02-28,330.26001,333.480011,330.160004,331.890015,184400000,61187609382.99999,1.6300049999999828,0.4935520349557354
1990-03-01,331.890015,334.399994,331.079987,332.73999,157930000,52549626699.66499,0.8499749999999722,0.2561014075701973
1990-03-02,332.73999,335.540009,332.720001,335.540009,164330000,54907583721.649994,2.8000190000000202,0.8415036016560684
1990-03-05,335.540009,336.380005,333.48999,333.73999,140110000,46927742499.725,-1.8000190000000202,-0.5364543576679814
1990-03-06,333.73999,337.929993,333.570007,337.929993,143640000,48227130000.0,4.190003000000047,1.2554692651606025
1990-03-07,337.929993,338.839996,336.329987,336.950012,163580000,55222152909.57,-0.9799810000000093,-0.28999527129869307
1990-03-08,336.950012,340.660004,336.950012,340.269989,170900000,57901775867.200005,3.3199769999999944,0.9853025320562869
1990-03-09,340.119995,340.269989,336.839996,337.929993,150410000,50922056421.925,-2.339995999999985,-0.6876880346917691
1990-03-12,337.929993,339.079987,336.140015,338.670013,114790000,38754252014.79,0.7400199999999586,0.2189861851060737
1990-03-13,338.670013,338.670013,335.359985,336.0,145440000,49015461454.56,-2.670012999999983,-0.7883818754275129
1990-03-14,336.0,337.630005,334.929993,336.869995,145060000,48780776654.939995,0.8699950000000172,0.258927083333349
1990-03-15,336.869995,338.910004,336.869995,338.070007,144410000,48794694827.795006,1.2000119999999583,0.3562240679820583
1990-03-16,338.070007,341.910004,338.070007,341.910004,222520000,75654576023.86,3.8399970000000394,1.1358585264856114
1990-03-19,341.910004,343.76001,339.119995,343.529999,142300000,48586912355.75,1.6199949999999603,0.4738074291619654
1990-03-20,343.529999,344.48999,340.869995,341.570007,177320000,60764016270.100006,-1.9599919999999997,-0.5705446411391812
1990-03-21,341.570007,342.339996,339.559998,339.73999,130990000,44661040107.03,-1.830016999999998,-0.5357663033920934
1990-03-22,339.73999,339.769989,333.619995,335.690002,175930000,59234749942.560005,-4.049987999999985,-1.1920845703209615
1990-03-23,335.690002,337.579987,335.690002,337.220001,132070000,44459383723.615,1.529999000000032,0.45577735139101794
1990-03-26,337.220001,339.73999,337.220001,337.630005,116110000,39300912277.505,0.41000399999995807,0.12158353561002588
1990-03-27,337.630005,341.5,337.029999,341.5,131610000,44650666584.195,3.869995000000017,1.1462236598314135
1990-03-28,341.5,342.579987,340.600006,342.0,142300000,48608256501.95,0.5,0.14641288433381305
1990-03-29,342.0,342.070007,339.769989,340.790009,132190000,45066214535.619995,-1.2099910000000023,-0.3537985380116959
1990-03-30,340.790009,341.410004,338.209991,339.940002,139340000,47349125051.65,-0.8500070000000051,-0.24942251167933138
1990-04-02,339.940002,339.940002,336.329987,338.700012,124360000,42050467916.020004,-1.2399899999999775,-0.3647673097324944
1990-04-03,338.700012,343.76001,338.700012,343.640015,154310000,52655202997.409996,4.94000299999999,1.4585186964799934
1990-04-04,343.640015,344.119995,340.399994,341.089996,159530000,54600736922.585,-2.5500190000000202,-0.7420611362736751
1990-04-05,341.089996,342.850006,340.630005,340.730011,144170000,49268656592.935,-0.35998499999999467,-0.10553959489331133
1990-04-06,340.730011,341.730011,338.940002,340.079987,137490000,46792660043.685,-0.6500239999999735,-0.19077392041054742
1990-04-09,340.079987,341.829987,339.880005,341.369995,114970000,39188098890.12,1.2900080000000003,0.3793248792378856
1990-04-10,341.369995,342.410004,340.619995,342.070007,136020000,46452870231.990005,0.7000119999999583,0.20505961574037723
1990-04-11,342.070007,343.0,341.26001,341.920013,141080000,48267701105.399994,-0.1499939999999924,-0.04384891891442422
1990-04-12,341.920013,344.790009,341.910004,344.339996,142470000,48917075426.055,2.419983000000002,0.7077629000909136
1990-04-16,344.339996,347.299988,344.100006,344.73999,142810000,49369416571.57,0.3999939999999924,0.11616251514390274
1990-04-17,344.73999,345.190002,342.059998,344.679993,127990000,43980563750.0,-0.059996999999953005,-0.017403551006645035
1990-04-18,344.679993,345.329987,340.109985,340.720001,147130000,50424391540.18,-3.9599919999999997,-1.1488894279976347
1990-04-19,340.720001,340.720001,337.589996,338.089996,152930000,51866973920.605,-2.6300050000000397,-0.7718962762036541
1990-04-20,338.089996,338.519989,333.410004,335.119995,174260000,58545260290.09,-2.970000999999968,-0.8784646204083368
1990-04-23,335.119995,335.119995,330.089996,331.049988,136150000,45284170137.325,-4.070007000000032,-1.2144924387457179
1990-04-24,331.049988,332.970001,329.709991,330.359985,137360000,45512861850.560005,-0.6900029999999902,-0.20842864371286574
1990-04-25,330.359985,332.73999,330.359985,332.029999,133480000,44255292331.5,1.6700139999999806,0.5055134022965868
1990-04-26,332.029999,333.76001,330.670013,332.920013,141330000,46951947575.295,0.8900140000000079,0.2680522852394507
1990-04-27,332.920013,333.570007,328.709991,329.109985,130630000,43256818069.369995,-3.8100279999999884,-1.1444274453996206
1990-04-30,329.109985,331.309998,327.76001,330.799988,122750000,40450421741.0,1.6900029999999902,0.5135070575266854
1990-05-01,330.799988,332.829987,330.799988,332.25,149020000,49447069437.25001,1.4500120000000152,0.4383349614873744
1990-05-02,332.25,334.480011,332.149994,334.480011,141610000,47200737504.025,2.2300109999999904,0.671184650112866
1990-05-03,334.480011,337.019989,334.470001,335.570007,145560000,48871041472.200005,1.089995999999985,0.32587776971819693
1990-05-04,335.579987,338.459991,335.170013,338.390015,140550000,47339348531.1,2.82000800000003,0.8403635429789835
1990-05-07,338.390015,341.070007,338.109985,340.529999,132760000,45083967868.96,2.13998399999997,0.6324016386831
1990-05-08,340.529999,342.029999,340.170013,342.01001,144230000,49196853865.380005,1.4800110000000473,0.43461985855761665
1990-05-09,342.01001,343.079987,340.899994,342.859985,152220000,52057716353.909996,0.8499749999999722,0.248523427720726
1990-05-10,342.869995,344.980011,342.769989,343.820007,158460000,54490432500.0,0.9600219999999808,0.2800040955493799
1990-05-11,343.820007,352.309998,343.820007,352.0,234040000,81461133185.09999,8.179993000000024,2.379149797411295
1990-05-14,352.0,358.410004,351.950012,354.75,225410000,80061125603.28001,2.75,0.78125
1990-05-15,354.75,355.089996,352.839996,354.279999,165730000,58662618787.079994,-0.47000100000002476,-0.1324879492600517
1990-05-16,354.269989,354.679993,351.950012,354.0,159810000,56463270549.525,-0.27999899999997524,-0.07903325075937495
1990-05-17,354.0,356.920013,354.0,354.470001,164770000,58569145271.005,0.47000100000002476,0.13276864406779332
1990-05-18,354.470001,354.640015,352.519989,354.640015,162520000,57463821925.04001,0.17001399999998057,0.04796287401482857
1990-05-21,354.640015,359.070007,353.779999,358.0,166280000,59266349498.83999,3.3599849999999947,0.9474353874026287
1990-05-22,358.0,360.5,356.089996,358.429993,203350000,72859287843.29999,0.4299930000000245,0.1201097765363146
1990-05-23,358.429993,359.290009,356.98999,359.290009,172330000,61718266113.835,0.8600159999999732,0.23993974187310751
1990-05-24,359.290009,359.559998,357.869995,358.410004,155140000,55651044557.009995,-0.8800049999999828,-0.2449288813928585
1990-05-25,358.410004,358.410004,354.320007,354.579987,120250000,42852891911.375,-3.830016999999998,-1.0686133080146987
1990-05-29,354.579987,360.649994,354.549988,360.649994,137410000,49137814763.31,6.0700069999999755,1.7118865199800437
