date,Opening price,Highest price,Lowest price,Closing price,Volume(share),Turnover(RMB),Ups and downs,Change(%)
1997-04-04,1258.07,1269.73,1251.59,1260.96,1016185200,12427286528.0,14.93,1.2
1997-04-07,1259.58,1276.57,1252.75,1276.4,1009888500,12109201408.0,15.44,1.22
1997-04-08,1277.05,1278.29,1246.72,1247.26,805377500,9958011904.0,-29.14,-2.28
1997-04-09,1251.57,1286.9,1251.56,1286.84,960450400,12103141376.0,39.58,3.17
1997-04-10,1293.25,1299.74,1279.49,1281.89,1086132900,13191962624.0,-4.95,-0.38
1997-04-11,1279.34,1283.56,1251.0,1278.52,922372300,11204022272.0,-3.37,-0.26
1997-04-14,1293.97,1325.66,1293.97,1316.92,1411947400,15682830336.0,38.4,3.0
1997-04-15,1318.57,1326.38,1298.18,1324.95,1032030300,11839345664.0,8.03,0.61
1997-04-16,1334.3,1338.42,1318.15,1327.78,969708500,11277900800.0,2.83,0.21
1997-04-17,1323.41,1331.17,1319.75,1323.36,780300400,8870340608.0,-4.42,-0.33
1997-04-18,1325.22,1338.85,1305.95,1338.03,880109800,9996923904.0,14.67,1.11
1997-04-21,1355.55,1365.21,1350.79,1362.07,1237789000,13608651776.0,24.04,1.8
1997-04-22,1362.98,1368.88,1354.45,1365.49,1085772100,12255844352.0,3.42,0.25
1997-04-23,1370.04,1380.35,1368.64,1378.84,1052266200,13673787392.0,13.35,0.98
1997-04-24,1370.17,1386.51,1356.52,1380.28,1003540600,13312753664.0,1.44,0.1
1997-04-25,1382.92,1386.26,1363.98,1364.97,1044457100,14033435648.0,-15.31,-1.11
1997-04-28,1372.26,1381.56,1346.25,1351.99,922612100,12227979264.0,-12.98,-0.95
1997-04-29,1353.99,1376.81,1335.75,1376.77,834953300,10338853888.0,24.78,1.83
1997-04-30,1385.3,1396.48,1376.45,1393.74,833159900,10513690624.0,16.97,1.23
1997-05-05,1398.14,1448.99,1398.04,1448.92,1028834700,13147117568.0,55.18,3.96
1997-05-06,1462.02,1483.5,1459.68,1482.99,1158537300,16273676288.0,34.07,2.35
1997-05-07,1495.21,1499.62,1464.86,1495.45,1144278900,15885880320.0,12.46,0.84
1997-05-08,1496.97,1504.25,1401.59,1405.18,1144965400,16080619520.0,-90.27,-6.04
1997-05-09,1412.89,1469.07,1394.42,1467.22,960198400,13491738624.0,62.04,4.42
1997-05-12,1490.78,1510.17,1486.44,1500.39,1316287900,16737799168.0,33.17,2.26
1997-05-13,1501.24,1501.24,1436.2,1464.28,1080846100,13592131584.0,-36.11,-2.41
1997-05-14,1447.6,1447.67,1378.02,1379.22,807545900,10699539456.0,-85.06,-5.81
1997-05-15,1371.19,1425.3,1360.22,1417.67,674249300,9233334272.0,38.45,2.79
1997-05-16,1309.59,1394.2,1287.07,1315.92,976828400,12767242240.0,-101.75,-7.18
1997-05-19,1330.78,1350.58,1316.13,1344.61,561368400,6967022080.0,28.69,2.18
1997-05-20,1351.65,1386.36,1351.22,1381.11,535449900,7396832256.0,36.5,2.71
1997-05-21,1386.84,1389.6,1340.29,1354.88,565277700,8011731968.0,-26.23,-1.9
1997-05-22,1248.96,1300.97,1232.2,1235.22,667319500,8722465792.0,-119.66,-8.83
1997-05-23,1238.69,1263.51,1225.79,1254.26,539099000,7688198144.0,19.04,1.54
1997-05-26,1268.59,1275.29,1213.24,1251.55,586391800,8455271936.0,-2.71,-0.22
1997-05-27,1258.38,1281.74,1253.25,1281.74,537760900,7591352832.0,30.19,2.41
1997-05-28,1283.0,1288.73,1265.56,1270.35,480878200,7189935104.0,-11.39,-0.89
1997-05-29,1267.51,1282.84,1262.57,1263.34,466189800,6444337152.0,-7.01,-0.55
1997-05-30,1261.29,1285.39,1254.62,1285.18,393774700,5518262784.0,21.84,1.73
1997-06-02,1302.82,1336.42,1302.16,1336.28,634405900,8674382848.0,51.1,3.98
1997-06-03,1341.68,1344.64,1313.46,1338.75,705919600,10110177280.0,2.47,0.18
1997-06-04,1345.37,1363.7,1344.59,1361.18,716713700,10493637632.0,22.43,1.68
1997-06-05,1362.18,1369.51,1346.96,1360.23,602559400,9294563328.0,-0.95,-0.07
1997-06-06,1271.31,1314.72,1254.27,1275.3,921891500,13177924608.0,-84.93,-6.24
1997-06-09,1275.25,1282.75,1255.67,1274.92,348236600,4760842752.0,-0.38,-0.03
1997-06-10,1278.99,1285.04,1239.85,1241.74,275090100,3614088960.0,-33.18,-2.6
1997-06-11,1239.5,1244.0,1175.7,1220.39,367009900,4674470912.0,-21.35,-1.72
1997-06-12,1224.47,1229.64,1211.79,1212.76,291234600,3480348928.0,-7.63,-0.63
1997-06-13,1154.98,1244.23,1154.97,1243.97,454499700,5609830912.0,31.21,2.57
1997-06-16,1255.76,1269.63,1255.76,1261.46,484055200,6314432000.0,17.49,1.41
1997-06-17,1260.4,1263.89,1245.33,1245.93,360459600,4297000960.0,-15.53,-1.23
1997-06-18,1252.01,1254.89,1230.3,1232.68,328471900,4022191104.0,-13.25,-1.06
1997-06-19,1233.67,1250.63,1227.25,1230.74,308720700,4037393920.0,-1.94,-0.16
1997-06-20,1243.99,1292.32,1243.99,1291.19,484067000,6602240000.0,60.45,4.91
1997-06-23,1313.23,1322.98,1265.17,1283.49,621643800,9130519552.0,-7.7,-0.6
1997-06-24,1287.18,1304.05,1283.72,1303.92,414551200,5756678144.0,20.43,1.59
1997-06-25,1309.34,1311.2,1293.35,1297.59,444195700,6170923008.0,-6.33,-0.49
1997-06-26,1295.11,1295.15,1280.84,1284.45,410607900,5259393024.0,-13.14,-1.01
1997-06-27,1287.92,1291.97,1246.92,1250.27,563251100,8405051904.0,-34.18,-2.66
1997-07-02,1255.9,1261.57,1147.33,1199.06,392386100,5690451968.0,-51.21,-4.1
1997-07-03,1194.67,1194.67,1149.94,1150.62,373727200,4717140992.0,-48.44,-4.04
1997-07-04,1138.92,1163.24,1124.77,1159.34,444542100,5071271936.0,8.72,0.76
1997-07-07,1161.7,1163.44,1085.57,1096.81,352613400,4176047104.0,-62.53,-5.39
1997-07-08,1092.79,1115.43,1066.04,1109.66,367520400,4324834816.0,12.85,1.17
1997-07-09,1113.64,1122.67,1104.08,1120.84,321446600,3503334912.0,11.18,1.01
1997-07-10,1121.25,1137.86,1115.21,1120.15,335418900,3646752000.0,-0.69,-0.06
1997-07-11,1116.41,1155.05,1114.39,1154.91,396597400,4648944128.0,34.76,3.1
1997-07-14,1163.29,1185.77,1158.44,1185.72,561638400,6582892032.0,30.81,2.67
1997-07-15,1189.47,1201.21,1180.19,1200.11,580413300,6562627072.0,14.39,1.21
1997-07-16,1201.59,1204.85,1184.44,1190.82,536418200,6314409984.0,-9.29,-0.77
1997-07-17,1188.26,1203.5,1180.93,1197.22,469884900,5609440768.0,6.4,0.54
1997-07-18,1199.39,1210.44,1191.28,1209.85,485220800,6022924800.0,12.63,1.05
1997-07-21,1215.83,1218.48,1188.87,1193.52,501928200,6047371776.0,-16.33,-1.35
1997-07-22,1189.11,1208.26,1163.46,1208.24,456627300,5481801216.0,14.72,1.23
1997-07-23,1219.05,1223.82,1194.7,1198.86,489938500,5496758784.0,-9.38,-0.78
1997-07-24,1194.7,1200.3,1172.36,1174.21,338274400,3871251968.0,-24.65,-2.06
1997-07-25,1166.56,1177.65,1158.13,1170.86,316872100,3490742016.0,-3.35,-0.29
1997-07-28,1167.81,1167.88,1138.47,1141.77,309613600,3363792896.0,-29.09,-2.48
1997-07-29,1137.31,1161.19,1133.17,1153.22,306038700,3010184960.0,11.45,1.0
1997-07-30,1157.09,1179.47,1157.0,1179.42,367969500,3544940032.0,26.2,2.27
1997-07-31,1184.93,1192.2,1179.71,1189.76,379039800,3697061888.0,10.34,0.88
1997-08-01,1191.65,1194.03,1182.22,1192.82,331388600,3162194944.0,3.06,0.26
1997-08-04,1196.25,1201.92,1188.67,1200.33,438521900,4263821056.0,7.51,0.63
1997-08-05,1203.35,1207.22,1193.69,1196.27,364089600,3529353984.0,-4.06,-0.34
1997-08-06,1196.03,1197.44,1170.26,1171.94,297232200,2894359040.0,-24.33,-2.03
1997-08-07,1167.92,1199.24,1161.63,1199.24,344869900,3156099072.0,27.3,2.33
1997-08-08,1205.95,1216.56,1201.35,1206.05,703374100,6010073088.0,6.81,0.57
1997-08-11,1206.45,1206.75,1182.44,1184.08,503650800,4966574080.0,-21.97,-1.82
1997-08-12,1177.26,1183.43,1145.74,1146.8,393690100,3904292096.0,-37.28,-3.15
1997-08-13,1139.24,1153.49,1118.2,1120.12,346081500,3283392000.0,-26.68,-2.33
1997-08-14,1120.47,1168.33,1120.24,1168.11,395297100,3702321920.0,47.99,4.28
1997-08-15,1174.18,1174.88,1133.89,1143.06,476761400,4024259072.0,-25.05,-2.14
1997-08-18,1139.6,1139.6,1116.14,1134.63,335746400,3052098048.0,-8.43,-0.74
1997-08-19,1134.61,1143.2,1128.1,1132.9,257198100,2372943872.0,-1.73,-0.15
1997-08-20,1135.05,1144.64,1133.74,1144.63,250738300,2319731968.0,11.73,1.04
1997-08-21,1148.38,1165.21,1147.81,1164.54,400722400,3817707008.0,19.91,1.74
1997-08-22,1159.38,1174.48,1156.82,1171.83,433739900,4004645888.0,7.29,0.63
1997-08-25,1175.44,1184.33,1175.38,1184.09,453960300,4356612096.0,12.26,1.05
1997-08-26,1186.06,1194.13,1181.24,1194.04,554979200,5413198848.0,9.95,0.84
1997-08-27,1195.42,1199.47,1188.33,1198.51,543372000,4832472064.0,4.47,0.37
1997-08-28,1201.05,1216.07,1194.67,1213.89,694265700,6113156096.0,15.38,1.28
1997-08-29,1214.31,1223.07,1209.47,1221.06,731864300,6340527104.0,7.17,0.59
1997-09-01,1224.17,1230.06,1219.1,1229.86,679821600,6136525824.0,8.8,0.72
1997-09-02,1228.47,1232.69,1215.92,1226.3,589620600,5211807232.0,-3.56,-0.29
1997-09-03,1223.62,1243.32,1223.46,1240.82,575803800,5501217792.0,14.52,1.18
1997-09-04,1245.77,1253.15,1245.64,1251.29,544704900,5457518080.0,10.47,0.84
1997-09-05,1250.6,1253.35,1241.21,1251.55,472278000,4467573760.0,0.26,0.02
1997-09-08,1253.14,1257.54,1245.74,1255.22,548425400,4863577088.0,3.67,0.29
1997-09-09,1255.18,1257.92,1230.44,1231.02,454445300,4073007104.0,-24.2,-1.93
1997-09-10,1230.42,1256.04,1227.64,1256.04,539072300,4469041152.0,25.02,2.03
1997-09-11,1260.51,1264.48,1236.11,1242.71,713364100,5998594048.0,-13.33,-1.06
1997-09-12,1240.49,1247.9,1207.83,1208.69,431066600,3632747008.0,-34.02,-2.74
1997-09-15,1205.9,1211.68,1175.94,1179.28,357837300,3078022912.0,-29.41,-2.43
1997-09-16,1182.75,1193.84,1181.16,1187.22,265195400,2149570048.0,7.94,0.67
1997-09-17,1188.88,1191.29,1162.24,1167.55,242595300,1946434944.0,-19.67,-1.66
1997-09-18,1169.67,1181.74,1164.64,1172.36,230095600,1934701952.0,4.81,0.41
1997-09-19,1174.76,1185.09,1168.86,1184.52,201843700,1763293056.0,12.16,1.04
1997-09-22,1184.49,1185.1,1102.61,1103.97,306264300,2514808064.0,-80.55,-6.8
1997-09-23,1096.18,1105.28,1025.13,1041.96,429958900,3080963072.0,-62.01,-5.62
1997-09-24,1064.66,1110.1,1064.66,1110.01,496402700,4081336064.0,68.05,6.53
1997-09-25,1118.36,1130.12,1106.24,1117.01,433633300,3583652096.0,7.0,0.63
1997-09-26,1118.69,1118.94,1094.42,1109.63,274170600,2232000000.0,-7.38,-0.66
1997-09-29,1106.34,1106.34,1079.34,1084.07,243615400,2094958976.0,-25.56,-2.3
1997-09-30,1083.41,1100.38,1083.23,1097.38,204530000,1766505984.0,13.31,1.23
1997-10-06,1100.7,1105.41,1091.15,1098.9,156593300,1298081024.0,1.52,0.14
1997-10-07,1098.29,1102.71,1087.01,1102.57,177603100,1323421056.0,3.67,0.33
1997-10-08,1122.96,1140.93,1116.71,1134.86,297108100,2433351936.0,32.29,2.93
1997-10-09,1134.59,1138.65,1120.08,1122.46,203387000,1622114048.0,-12.4,-1.09
1997-10-10,1121.33,1131.57,1120.51,1130.78,198463400,1582066944.0,8.32,0.74
1997-10-13,1136.42,1138.4,1117.38,1119.81,192505000,1534104960.0,-10.97,-0.97
1997-10-14,1116.29,1118.02,1105.7,1117.92,155394500,1211513984.0,-1.89,-0.17
1997-10-15,1119.1,1129.65,1116.42,1125.78,215762500,1798745984.0,7.86,0.7
1997-10-16,1131.4,1151.39,1131.39,1150.3,340456000,3357967872.0,24.52,2.18
1997-10-17,1155.42,1180.21,1153.89,1176.48,462936300,4871954944.0,26.18,2.28
1997-10-20,1183.74,1191.04,1173.55,1187.36,464129500,4910581760.0,10.88,0.92
1997-10-21,1190.49,1192.34,1179.57,1191.87,425827000,4349955072.0,4.51,0.38
1997-10-22,1193.7,1203.01,1168.45,1177.52,612719400,6782919168.0,-14.35,-1.2
1997-10-23,1178.98,1186.06,1170.23,1173.36,418015400,4351262208.0,-4.16,-0.35
1997-10-24,1172.88,1179.8,1164.06,1178.3,380374300,3682157056.0,4.94,0.42
1997-10-27,1183.64,1235.94,1183.64,1235.82,660304100,7016540160.0,57.52,4.88
1997-10-28,1239.58,1241.83,1172.89,1177.92,527720700,5622448128.0,-57.9,-4.69
1997-10-29,1168.22,1188.79,1162.98,1184.08,361131500,3642467072.0,6.16,0.52
1997-10-30,1189.26,1207.97,1173.64,1174.84,484904800,5120577024.0,-9.24,-0.78
1997-10-31,1164.91,1181.5,1158.73,1180.39,307721700,2986041088.0,5.55,0.47
1997-11-03,1181.16,1185.06,1176.54,1180.85,258672900,2545630976.0,0.46,0.04
1997-11-04,1180.86,1190.47,1180.86,1184.7,239158100,2250394112.0,3.85,0.33
1997-11-05,1186.09,1194.67,1179.35,1194.03,497941400,4417063936.0,9.33,0.79
1997-11-06,1198.65,1203.08,1179.58,1181.12,432950300,4423905792.0,-12.91,-1.08
1997-11-07,1181.77,1195.74,1177.63,1195.14,365756700,3645254912.0,14.02,1.19
1997-11-10,1199.36,1202.57,1178.63,1185.78,401852800,4256390912.0,-9.36,-0.78
1997-11-11,1183.41,1187.74,1168.48,1186.63,302672000,3042721024.0,0.85,0.07
1997-11-12,1190.01,1193.53,1171.56,1174.18,298720800,2944480000.0,-12.45,-1.05
1997-11-13,1169.7,1185.28,1157.29,1185.02,302582900,2974609920.0,10.84,0.92
1997-11-14,1187.35,1208.84,1181.68,1197.83,395852100,3911844096.0,12.81,1.08
1997-11-17,1210.67,1213.22,1190.43,1191.33,276190600,2724621056.0,-6.5,-0.54
1997-11-18,1190.26,1193.31,1182.6,1183.34,258866300,2550011904.0,-7.99,-0.67
1997-11-19,1185.1,1191.96,1175.78,1181.62,269581100,2456818944.0,-1.72,-0.15
1997-11-20,1182.73,1189.49,1169.09,1172.42,327957400,2911639040.0,-9.2,-0.78
1997-11-21,1168.96,1169.1,1152.0,1158.55,300066700,2793787904.0,-13.87,-1.18
1997-11-24,1150.41,1150.56,1122.93,1124.94,300128100,2669792000.0,-33.61,-2.9
1997-11-25,1120.86,1131.12,1114.13,1125.52,361226400,3629595904.0,0.58,0.05
1997-11-26,1126.59,1143.81,1124.47,1143.81,236753800,2121198976.0,18.29,1.63
1997-11-27,1141.77,1141.97,1120.51,1122.51,253018200,2320975104.0,-21.3,-1.86
1997-11-28,1117.56,1139.64,1114.43,1139.62,267097800,2654187008.0,17.11,1.52
1997-12-01,1137.58,1139.29,1130.44,1133.08,232384700,2372620032.0,-6.54,-0.57
1997-12-02,1133.59,1139.6,1128.5,1130.16,188487700,1795814016.0,-2.92,-0.26
1997-12-03,1129.77,1130.31,1121.59,1122.54,192721100,1808203008.0,-7.62,-0.67
1997-12-04,1121.8,1137.01,1119.2,1135.87,230594400,2286490880.0,13.33,1.19
1997-12-05,1139.47,1144.22,1134.93,1136.2,241163900,2286161920.0,0.33,0.03
1997-12-08,1140.54,1143.08,1136.57,1139.36,210600500,1948707968.0,3.16,0.28
1997-12-09,1139.8,1148.17,1137.31,1148.17,215615800,2098962048.0,8.81,0.77
1997-12-10,1150.47,1158.98,1149.33,1157.84,238037700,2290330112.0,9.67,0.84
1997-12-11,1159.05,1159.75,1145.54,1159.16,233129600,2531418112.0,1.32,0.11
1997-12-12,1160.22,1165.81,1153.43,1153.84,258647900,2881841920.0,-5.32,-0.46
1997-12-15,1155.72,1168.05,1155.6,1168.02,318565800,3364495104.0,14.18,1.23
1997-12-16,1170.46,1174.8,1165.6,1174.8,336673400,3782595072.0,6.78,0.58
1997-12-17,1169.64,1169.73,1145.89,1146.52,334914700,3670103040.0,-28.28,-2.41
1997-12-18,1142.1,1159.11,1138.39,1154.16,307599400,3207002880.0,7.64,0.67
1997-12-19,1154.7,1161.87,1151.14,1160.76,326524200,3364940032.0,6.6,0.57
1997-12-22,1162.68,1169.02,1153.44,1169.0,425312300,4949745152.0,8.24,0.71
1997-12-23,1171.9,1176.92,1165.05,1171.25,333393900,3812491008.0,2.25,0.19
1997-12-24,1171.73,1173.54,1164.85,1169.66,319889600,3370520064.0,-1.59,-0.14
1997-12-25,1170.56,1181.47,1169.99,1181.27,361664600,4138141952.0,11.61,0.99
1997-12-26,1187.75,1194.23,1186.52,1191.91,421806500,4872863744.0,10.64,0.9
1997-12-29,1196.29,1198.97,1185.65,1186.6,371409800,3931172096.0,-5.31,-0.45
1997-12-30,1186.13,1193.62,1179.55,1181.14,282418600,2972268032.0,-5.46,-0.46
1997-12-31,1182.25,1195.04,1182.24,1194.1,312211800,3601425920.0,12.96,1.1
1998-01-05,1200.94,1220.49,1200.22,1220.47,440584400,5383873024.0,26.37,2.21
1998-01-06,1223.73,1233.63,1215.4,1233.62,518646600,6226787840.0,13.15,1.08
1998-01-07,1233.95,1244.09,1231.14,1244.07,579946800,6338030080.0,10.45,0.85
1998-01-08,1243.12,1250.0,1235.88,1237.16,409686200,4562875904.0,-6.91,-0.56
1998-01-09,1233.7,1244.99,1221.29,1239.9,538149600,6421216768.0,2.74,0.22
1998-01-12,1242.21,1246.65,1226.39,1226.96,576996700,6670899200.0,-12.94,-1.04
1998-01-13,1211.88,1211.88,1110.08,1167.64,722578400,9022725120.0,-59.32,-4.83
1998-01-14,1170.34,1203.24,1170.32,1202.21,572917900,6275423232.0,34.57,2.96
1998-01-15,1210.42,1217.86,1196.14,1215.43,556333600,5734376960.0,13.22,1.1
1998-01-16,1215.82,1220.97,1207.91,1213.96,414442500,4617707008.0,-1.47,-0.12
1998-01-19,1215.4,1216.98,1205.47,1213.12,327431200,3690653952.0,-0.84,-0.07
1998-01-20,1211.27,1215.57,1195.38,1203.71,315865900,3501964032.0,-9.41,-0.78
1998-01-21,1201.98,1209.68,1198.22,1200.2,308598900,2916666880.0,-3.51,-0.29
1998-01-22,1200.52,1207.45,1194.38,1204.43,439939500,4150379008.0,4.23,0.35
1998-01-23,1206.49,1224.12,1206.45,1222.91,359933100,3482348032.0,18.48,1.53
1998-02-09,1257.99,1262.62,1244.42,1248.04,437857700,4678220800.0,25.13,2.05
1998-02-10,1248.59,1248.59,1233.69,1236.51,534123200,4923077120.0,-11.53,-0.92
1998-02-11,1234.18,1251.45,1233.53,1250.23,483031800,4388084224.0,13.72,1.11
1998-02-12,1253.38,1254.41,1241.99,1246.29,476442600,4604214784.0,-3.94,-0.32
1998-02-13,1246.73,1251.91,1241.82,1245.91,410907400,4490527232.0,-0.38,-0.03
1998-02-16,1246.79,1247.96,1230.91,1236.23,463122500,5026706944.0,-9.68,-0.78
1998-02-17,1234.83,1240.57,1228.11,1238.5,353616900,3761720064.0,2.27,0.18
1998-02-18,1239.63,1240.17,1225.49,1229.83,462579100,4701663232.0,-8.67,-0.7
1998-02-19,1229.8,1235.49,1223.93,1232.58,331738600,3370115072.0,2.75,0.22
1998-02-20,1234.6,1237.91,1224.58,1226.02,317507200,3234478080.0,-6.56,-0.53
1998-02-23,1217.85,1217.85,1195.88,1208.6,382134300,3962984960.0,-17.42,-1.42
1998-02-24,1206.92,1216.35,1206.09,1208.21,353919700,3313786112.0,-0.39,-0.03
1998-02-25,1208.52,1209.49,1191.75,1194.67,344656100,3373128960.0,-13.54,-1.12
1998-02-26,1193.0,1206.67,1189.51,1206.67,316096700,3272280064.0,12.0,1.0
1998-02-27,1209.44,1213.72,1202.86,1206.53,359328700,3661349888.0,-0.14,-0.01
1998-03-02,1196.74,1205.74,1182.61,1188.3,485620400,4869275136.0,-18.23,-1.51
1998-03-03,1186.52,1201.8,1185.3,1201.78,357323300,3521327104.0,13.48,1.13
1998-03-04,1204.94,1214.0,1201.25,1213.25,360788000,4082917120.0,11.47,0.95
1998-03-05,1217.85,1219.28,1206.37,1207.54,323275500,3584568064.0,-5.71,-0.47
1998-03-06,1208.74,1208.97,1202.12,1206.45,309197100,3322543104.0,-1.09,-0.09
1998-03-09,1207.95,1208.61,1197.56,1200.83,310263800,3505223936.0,-5.62,-0.47
1998-03-10,1199.62,1205.83,1186.55,1199.83,299751000,3303258112.0,-1.0,-0.08
1998-03-11,1201.26,1210.52,1187.44,1190.03,366980800,4360007168.0,-9.8,-0.82
1998-03-12,1187.53,1188.28,1175.55,1178.97,251540500,2610192896.0,-11.06,-0.93
1998-03-13,1177.81,1184.96,1176.0,1184.96,236705900,2474820096.0,5.99,0.51
1998-03-16,1186.18,1188.61,1179.44,1188.48,304874800,3387109888.0,3.52,0.3
1998-03-17,1193.66,1202.83,1193.23,1202.83,376005600,4255075072.0,14.35,1.21
1998-03-18,1204.1,1204.74,1191.9,1193.9,366284200,4043563008.0,-8.93,-0.74
1998-03-19,1192.39,1195.82,1184.87,1188.71,344971900,3511040000.0,-5.19,-0.43
1998-03-20,1188.59,1192.32,1183.24,1187.5,282744700,2957061888.0,-1.21,-0.1
1998-03-23,1186.56,1186.86,1178.04,1179.86,364277300,3908759040.0,-7.64,-0.64
1998-03-24,1180.09,1194.05,1179.97,1194.01,354491200,3714162944.0,14.15,1.2
1998-03-25,1207.61,1209.76,1188.85,1191.55,415523300,4602113024.0,-2.46,-0.21
1998-03-26,1191.0,1193.81,1186.22,1188.86,455332900,4500583936.0,-2.69,-0.23
1998-03-27,1189.4,1223.92,1188.85,1223.56,686332800,7215240192.0,34.7,2.92
1998-03-30,1230.94,1249.44,1228.29,1249.43,733146600,7915189760.0,25.87,2.11
1998-03-31,1251.34,1252.24,1238.64,1243.01,611881400,6429037056.0,-6.42,-0.51
1998-04-01,1243.37,1255.01,1240.05,1254.96,624757400,6740955136.0,11.95,0.96
1998-04-02,1259.59,1285.03,1259.58,1269.01,1035171000,11033227264.0,14.05,1.12
1998-04-03,1268.56,1286.1,1266.03,1286.08,794920100,8403443200.0,17.07,1.35
1998-04-06,1291.61,1306.38,1286.43,1306.37,1024620100,10254905344.0,20.29,1.58
1998-04-07,1308.55,1310.28,1296.54,1303.14,1630792500,9296909312.0,-3.23,-0.25
1998-04-08,1303.4,1322.82,1302.41,1322.79,1418220100,11282428928.0,19.65,1.51
1998-04-09,1326.44,1328.78,1288.88,1297.22,1516259200,12499861504.0,-25.57,-1.93
1998-04-10,1294.61,1311.52,1293.58,1311.51,1467012600,10336776192.0,14.29,1.1
1998-04-13,1319.94,1326.29,1311.83,1318.38,1215326700,10899426304.0,6.87,0.52
1998-04-14,1318.27,1320.9,1304.37,1313.72,858507300,7163332096.0,-4.66,-0.35
1998-04-15,1314.16,1324.7,1314.06,1324.7,958452800,7580655104.0,10.98,0.84
1998-04-16,1324.03,1326.42,1312.56,1316.24,947012900,8403793920.0,-8.46,-0.64
1998-04-17,1311.54,1311.73,1291.08,1298.1,881469000,7626521088.0,-18.14,-1.38
1998-04-20,1292.16,1302.98,1286.58,1296.0,740849000,7018780160.0,-2.1,-0.16
1998-04-21,1296.77,1307.85,1295.05,1304.7,657964800,5873254912.0,8.7,0.67
1998-04-22,1307.83,1333.06,1307.83,1332.18,793656300,7483210240.0,27.48,2.11
1998-04-23,1337.48,1340.25,1321.04,1324.55,1067646200,8477715968.0,-7.63,-0.57
1998-04-24,1324.45,1331.85,1313.6,1315.16,974514400,8411666944.0,-9.39,-0.71
1998-04-27,1314.35,1318.79,1303.48,1310.37,1109455200,8623431680.0,-4.79,-0.36
1998-04-28,1315.34,1333.09,1315.32,1332.99,961364900,8137355776.0,22.62,1.73
1998-04-29,1337.89,1341.58,1328.56,1332.49,829718400,7002967040.0,-0.5,-0.04
1998-04-30,1336.01,1343.46,1335.54,1343.44,890393400,7520545792.0,10.95,0.82
1998-05-04,1353.05,1355.51,1345.35,1352.92,1106758700,8992205824.0,9.48,0.71
1998-05-05,1355.04,1356.05,1346.59,1352.52,805340600,6802926080.0,-0.4,-0.03
1998-05-06,1352.72,1355.65,1341.8,1348.41,766686900,7525547008.0,-4.11,-0.3
1998-05-07,1348.88,1352.55,1326.65,1327.87,799052000,8213467136.0,-20.54,-1.52
1998-05-08,1324.74,1357.6,1324.72,1357.59,1689402400,10338143232.0,29.72,2.24
1998-05-11,1367.24,1368.02,1351.59,1354.6,1346280500,11730668544.0,-2.99,-0.22
1998-05-12,1358.95,1360.06,1342.73,1349.64,870615200,7618459136.0,-4.96,-0.37
1998-05-13,1351.18,1369.3,1351.0,1369.26,1022600600,9222568960.0,19.62,1.45
1998-05-14,1373.17,1376.29,1360.89,1367.12,1241409700,9864662016.0,-2.14,-0.16
1998-05-15,1373.42,1379.12,1361.84,1368.08,1024833400,8489564160.0,0.96,0.07
1998-05-18,1373.67,1376.38,1360.46,1368.18,831916900,6608844800.0,0.1,0.01
1998-05-19,1370.67,1372.87,1355.53,1362.29,629824000,5489381888.0,-5.89,-0.43
1998-05-20,1362.69,1365.1,1352.16,1357.43,676405300,6521455104.0,-4.86,-0.36
1998-05-21,1356.95,1367.71,1350.26,1366.65,677688200,6230987776.0,9.22,0.68
1998-05-22,1371.36,1379.89,1370.72,1375.81,801785700,8157572096.0,9.16,0.67
1998-05-25,1380.12,1389.65,1376.2,1389.36,1073248100,10209896448.0,13.55,0.98
1998-05-26,1392.75,1394.43,1383.75,1390.41,876561700,8991478784.0,1.05,0.08
1998-05-27,1393.73,1399.54,1390.55,1399.54,884812600,9093962752.0,9.13,0.66
1998-05-28,1402.85,1405.58,1392.9,1397.89,832858800,8171867136.0,-1.65,-0.12
1998-05-29,1402.67,1411.34,1402.01,1411.2,952906300,9586862080.0,13.31,0.95
1998-06-01,1418.35,1420.55,1411.06,1415.57,987447400,10268972032.0,4.37,0.31
1998-06-02,1419.22,1419.57,1402.62,1413.08,797245700,7690210816.0,-2.49,-0.18
1998-06-03,1415.01,1421.12,1413.11,1420.0,858094100,7470886912.0,6.92,0.49
1998-06-04,1420.98,1422.97,1402.74,1406.3,765656100,7396794880.0,-13.7,-0.96
1998-06-05,1404.07,1414.36,1390.63,1408.61,758843300,8037844992.0,2.31,0.16
1998-06-08,1411.95,1415.18,1401.05,1403.73,670136300,6992848896.0,-4.88,-0.35
1998-06-09,1400.34,1400.34,1357.46,1369.65,724641400,7169710080.0,-34.08,-2.43
1998-06-10,1367.74,1377.83,1359.39,1368.29,536716700,5812779008.0,-1.36,-0.1
1998-06-11,1367.55,1371.15,1346.06,1347.67,425487000,4163335936.0,-20.62,-1.51
1998-06-12,1373.11,1383.46,1365.08,1383.38,544359400,5457820160.0,35.71,2.65
1998-06-15,1385.32,1386.98,1359.87,1365.34,550757100,5924895744.0,-18.04,-1.3
1998-06-16,1362.59,1362.59,1323.52,1348.58,594975700,5903299072.0,-16.76,-1.23
1998-06-17,1349.0,1356.66,1344.44,1348.94,514730100,4938423808.0,0.36,0.03
1998-06-18,1352.23,1372.12,1352.23,1370.68,525733200,4870895104.0,21.74,1.61
1998-06-19,1376.19,1392.87,1376.19,1392.87,537891200,6031252992.0,22.19,1.62
