date,Opening price,Highest price,Lowest price,Closing price,Volume(share),Turnover(RMB),Ups and downs,Change(%)
1991-08-02,146.49,146.68,145.44,146.68,1174400,5825000.0,1.44,0.99
1991-08-05,148.06,148.15,146.68,148.15,512600,2593000.0,1.47,1.0
1991-08-06,149.62,149.62,148.15,149.62,200100,1065000.0,1.47,0.99
1991-08-07,150.93,151.12,149.62,151.12,110700,580000.0,1.5,1.0
1991-08-08,152.57,152.61,151.12,152.61,195100,1045000.0,1.49,0.99
1991-08-09,153.9,154.1,152.61,154.1,371500,1990000.0,1.49,0.98
1991-08-12,155.34,155.54,154.1,155.54,391900,2154000.0,1.44,0.93
1991-08-13,156.87,157.07,155.54,157.07,2003900,10529000.0,1.53,0.98
1991-08-14,158.3,158.63,158.11,158.63,548000,2929000.0,1.56,0.99
1991-08-15,159.92,160.21,158.63,160.21,153700,850000.0,1.58,1.0
1991-08-16,161.56,161.6,160.21,161.6,98400,581000.0,1.39,0.87
1991-08-19,163.21,163.21,161.6,163.21,98500,614000.0,1.61,1.0
1991-08-20,164.74,164.84,163.21,164.84,57300,388000.0,1.63,1.0
1991-08-21,166.49,166.49,164.84,166.49,341100,2106000.0,1.65,1.0
1991-08-22,167.81,168.16,166.49,168.16,129600,845000.0,1.67,1.0
1991-08-23,169.81,169.81,168.16,169.81,60500,502000.0,1.65,0.98
1991-08-26,171.51,171.51,169.81,171.51,64300,518000.0,1.7,1.0
1991-08-27,173.06,173.19,171.51,173.19,79600,520000.0,1.68,0.98
1991-08-28,174.82,174.92,173.19,174.92,80400,511000.0,1.73,1.0
1991-08-29,176.53,176.66,174.92,176.66,260800,1629000.0,1.74,0.99
1991-08-30,178.2,178.43,176.66,178.43,675900,4219000.0,1.77,1.0
1991-09-02,180.08,180.22,178.43,180.22,140800,886000.0,1.79,1.0
1991-09-03,181.71,181.97,180.22,181.97,147500,940000.0,1.75,0.97
1991-09-04,183.66,183.69,181.97,183.69,65000,470000.0,1.72,0.95
1991-09-05,185.48,185.51,183.69,185.51,151400,1095000.0,1.82,0.99
1991-09-06,187.09,187.36,185.51,187.36,276500,1761000.0,1.85,1.0
1991-09-09,189.1,189.24,187.36,189.24,355200,2349000.0,1.88,1.0
1991-09-10,190.98,190.98,188.19,188.33,3343400,21507000.0,-0.91,-0.48
1991-09-11,187.29,187.29,186.86,187.22,2139200,14677000.0,-1.11,-0.59
1991-09-12,186.22,187.4,186.07,186.22,1969900,16265000.0,-1.0,-0.53
1991-09-13,188.0,188.04,185.01,187.79,3743400,24035000.0,1.57,0.84
1991-09-16,189.55,189.66,187.79,189.66,993300,6343000.0,1.87,1.0
1991-09-17,191.16,191.18,188.28,188.65,2882900,18623000.0,-1.01,-0.53
1991-09-18,187.26,188.59,187.18,187.63,1582200,11015000.0,-1.02,-0.54
1991-09-19,187.65,189.21,186.49,186.88,2343900,14607000.0,-0.75,-0.4
1991-09-20,185.77,187.21,185.66,185.92,1207500,7417000.0,-0.96,-0.51
1991-09-23,185.0,185.92,184.71,185.0,403400,2806000.0,-0.92,-0.49
1991-09-24,183.96,185.04,183.69,184.08,142600,1002000.0,-0.92,-0.5
1991-09-25,182.8,184.08,182.8,183.19,138900,934000.0,-0.89,-0.48
1991-09-26,182.21,183.19,181.93,182.33,654100,4620000.0,-0.86,-0.47
